title,link,text,fund_name,action,target,stock_name,date
"Sell MRF, target price Rs 75400: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/sell-mrf-target-price-rs-75400-motilal-oswal-financial-services/articleshow/99982381.cms,"MRF, incorporated in the year 1960, is a Large Cap company (having a market cap of Rs 40278.14 Crore) operating in Tyres sector.",Motilal Oswal Financial Services,Sell,75400,MRF,2023-05-04
"Buy Titan Company, target price Rs 3080: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-titan-company-target-price-rs-3080-motilal-oswal-financial-services/articleshow/99982063.cms,"Titan Company, incorporated in the year 1984, is a Large Cap company (having a market cap of Rs 237296.36 Crore) operating in Gems and Jewellery sector.",Motilal Oswal Financial Services,Buy,3080,Titan Company,2023-05-04
"Hold Laurus Labs, target price Rs 323: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/hold-laurus-labs-target-price-rs-323-sharekhan-by-bnp-paribas/articleshow/99981870.cms,"Laurus Labs, incorporated in the year 2005, is a Mid Cap company (having a market cap of Rs 17134.49 Crore) operating in Pharmaceuticals sector.",Sharekhan by BNP Paribas,Hold,323,Laurus Labs,2023-05-04
"Buy Coforge, target price Rs 4900: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-coforge-target-price-rs-4900-sharekhan-by-bnp-paribas/articleshow/99981542.cms,The brokerage maintains a Buy on Coforge with an unchanged PT of Rs 4900 as consistent deal wins and healthy order intake provides good revenue visibility and thus makes valuation of 21x FY25E EPS reasonable.,Sharekhan by BNP Paribas,Buy,4900,Coforge,2023-05-04
"Buy Trent, target price Rs 1550: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-trent-target-price-rs-1550-sharekhan-by-bnp-paribas/articleshow/99977785.cms,Stock currently trades at 25.4x/20.7x its FY2024E/25E EV/EBIDTA.,Sharekhan by BNP Paribas,Buy,1550,Trent,2023-05-04
"Buy Axis Bank, target price Rs 1140: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-1140-sharekhan-by-bnp-paribas/articleshow/99976627.cms,"Axis Bank, incorporated in the year 1993, is a banking company (having a market cap of Rs 264532.35 Crore).",Sharekhan by BNP Paribas,Buy,1140,Axis Bank,2023-05-04
"Buy Hindustan Unilever, target price Rs 2810: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hindustan-unilever-target-price-rs-2810-sharekhan-by-bnp-paribas/articleshow/99976349.cms,"Hindustan Unilever, incorporated in the year 1933, is a Large Cap company (having a market cap of Rs 583215.54 Crore) operating in FMCG sector.",Sharekhan by BNP Paribas,Buy,2810,Hindustan Unilever,2023-05-04
"Buy Canara Bank, target price Rs 335: Jayesh Bhanushali",https://economictimes.indiatimes.com/markets/stocks/recos/buy-canara-bank-target-price-rs-335-jayesh-bhanushali/articleshow/99976161.cms,"Canara Bank, incorporated in the year 1906, is a banking company (having a market cap of Rs 57870.76 Crore).",Jayesh Bhanushali,Buy,335,Canara Bank,2023-05-04
"Buy Grasim Industries, target price Rs 1830: Jayesh Bhanushali",https://economictimes.indiatimes.com/markets/stocks/recos/buy-grasim-industries-target-price-rs-1830-jayesh-bhanushali/articleshow/99975936.cms,"Grasim Industries, incorporated in the year 1947, is a Large Cap company (having a market cap of Rs 114633.03 Crore) operating in Diversified sector.",Jayesh Bhanushali,Buy,1830,Grasim Industries,2023-05-04
"Buy PI Industries, target price Rs 3550: Jayesh Bhanushali",https://economictimes.indiatimes.com/markets/stocks/recos/buy-pi-industries-target-price-rs-3550-jayesh-bhanushali/articleshow/99975750.cms,"PI Industries, incorporated in the year 1946, is a Large Cap company (having a market cap of Rs 52184.21 Crore) operating in Pesticides/Agro Chemicals sector.",Jayesh Bhanushali,Buy,3550,PI Industries,2023-05-04
"Buy LTIMindtree, target price Rs 5100: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ltimindtree-target-price-rs-5100-sharekhan-by-bnp-paribas/articleshow/99959177.cms,"LTIMindtree, incorporated in the year 1996, is a Large Cap company (having a market cap of Rs 133061.09 Crore) operating in IT Software sector.",Sharekhan by BNP Paribas,Buy,5100,LTIMindtree,2023-05-03
"Buy UltraTech Cement, target price Rs 8400: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ultratech-cement-target-price-rs-8400-sharekhan-by-bnp-paribas/articleshow/99958842.cms,"At CMP, the stock is trading at an EV/EBITDA of 14x its FY2025E earnings which we believe provides further room for upside.",Sharekhan by BNP Paribas,Buy,8400,UltraTech Cement,2023-05-03
"Hold Wipro, target price Rs 420: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/hold-wipro-target-price-rs-420-sharekhan-by-bnp-paribas/articleshow/99958503.cms,The stock trades at 17.7x/15.6x FY24E/FY25E EPS.,Sharekhan by BNP Paribas,Hold,420,Wipro,2023-05-03
"Buy Bajaj Finserv, target price Rs 1650: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bajaj-finserv-target-price-rs-1650-sharekhan-by-bnp-paribas/articleshow/99957889.cms,"Bajaj Finserv, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 213978.83 Crore) operating in NBFC sector.",Sharekhan by BNP Paribas,Buy,1650,Bajaj Finserv,2023-05-03
"Buy Kotak Mahindra Bank, target price Rs 2250: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-kotak-mahindra-bank-target-price-rs-2250-sharekhan-by-bnp-paribas/articleshow/99955792.cms,The stock is currently trading at 3.1x/2.7x its FY2024E/FY2025E Core BV. The near-term focus would be on the succession plans of MD and CEO.,Sharekhan by BNP Paribas,Buy,2250,Kotak Mahindra Bank,2023-05-03
"Buy Coforge, target price Rs 4725: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-coforge-target-price-rs-4725-icici-direct/articleshow/99833103.cms,"Coforge, incorporated in the year 1992, is a Mid Cap company (having a market cap of Rs 25681.01 Crore) operating in IT Software sector.",ICICI Direct,Buy,4725,Coforge,2023-04-28
