todaymin,todaymax,todaynow,52min,52max,52now,price_change,Open,Prev. Close,Volume,Total traded value,Upper Circuit,Lower Circuit,Market Cap,ROE,P/E Ratio(TTM),EPS(TTM),P/B Ratio,Dividend Yield,Industry P/E,Book Value,Debt to Equity,Face Value,Parent Organisation,Founded,Managing Director,Symbol,name
390.2,394.1,392.85,187,410.5,392.85,+0.50 (0.13%) 1D,392.40,392.35,"1,37,606",5.41 Cr,470.80,313.90,"₹13,771Cr",17.37%,33.04,11.88,6.32,1.21%,6.09,94.94,0.46,1,Aegis Logistics Limited,1956,Mr. Raj Chandaria,AEGISCHEM,Aegis Logistics Ltd.
283.4,290,288.25,178,297.7,288.25,+1.65 (0.58%) 1D,286.95,286.60,"2,14,175",6.17 Cr,343.90,229.30,"₹4,974Cr",18.70%,9.08,31.55,1.55,NA,9.15,184.60,0.24,10,CSB Bank Limited,1920,Shri. Pralay Mondal,CSBBANK,CSB Bank Ltd.
167.3,171.6,168.85,128.85,235.9,168.85,+1.35 (0.81%) 1D,169.50,167.50,"43,024",0.73 Cr,201.00,134.00,₹318Cr,6.28%,9.10,18.42,0.56,1.19%,24.69,301.70,0.18,10,Nath Bio-Genes (I) Limited,1993,Mr. Satish Kagliwal,NATHBIOGEN,Nath Bio-Genes (India) Ltd.
481.25,491.45,490.95,379,511.4,490.95,+2.70 (0.55%) 1D,487.15,488.25,"4,49,572",22.07 Cr,585.90,390.60,"₹19,572Cr",13.45%,14.01,34.85,2.15,0.31%,NA,234.01,0.81,10,Prestige Estates Projects Limited,1997,Mr. Irfan Razack,PRESTIGE,Prestige Estates Projects Ltd.
2941,3036.3,3000,556.25,3036.3,3000,+29.30 (0.99%) 1D,"2,996.00","2,970.70","72,284",21.69 Cr,"3,564.80","2,376.60","₹11,368Cr",16.48%,23.80,124.82,6.63,0.50%,16.92,456.58,0.23,10,Apar Industries Limited,1989,Mr. Kushal Desai,APARINDS,Apar Industries Ltd.
2911.4,3004,3000,1729,3691.2,3000,+99.30 (3.42%) 1D,"2,941.00","2,900.70","8,373",2.51 Cr,"3,480.80","2,320.60","₹2,935Cr",14.96%,16.75,173.20,3.11,1.21%,27.25,968.25,NA,10,Voltamp Transformers Limited,1967,Shri. Kanubhai Patel,VOLTAMP,Voltamp Transformers Ltd.
2385.95,2414.6,2393.35,2193,3526.1,2393.35,+5.85 (0.25%) 1D,"2,387.00","2,387.50","5,810",1.39 Cr,"2,865.00","1,910.00","₹10,334Cr",28.86%,21.97,108.67,4.42,0.25%,16.83,603.28,0.04,10,BASF India Limited,1943,Mr. Alexander Gerding,BASF,BASF India Ltd.
1275.4,1427.8,1400.65,881.29,1649.8,1400.65,+129.35 (10.17%) 1D,"1,280.00","1,271.30","23,89,998",335 Cr,"1,525.55","1,017.05","₹5,294Cr",5.64%,39.09,32.52,2.25,0.79%,27.63,532.00,0.29,10,BEML Limited,1964,Shri. Amit Banerjee,BEML,BEML Ltd
456.8,464.65,463.7,408.4,578,463.7,+7.90 (1.73%) 1D,458.10,455.80,"1,26,986",5.89 Cr,546.95,364.65,"₹14,716Cr",42.31%,13.20,34.54,5.16,4.94%,21.41,88.35,3.30,5,ICICI Securities Limited,1995,Mr. Vijay Chandok,ISEC,ICICI Securities Ltd.
6360,6500,6449.95,4932.05,6572.75,6449.95,+79.25 (1.24%) 1D,"6,398.95","6,370.70",907,0.59 Cr,"7,644.80","5,096.60","₹3,369Cr",42.93%,36.08,176.58,15.80,2.37%,14.60,445.70,0.18,10,Hawkins Cookers Limited,1959,Mr. Subhadip Choudhury,508486,Hawkins Cookers Ltd.
